id,name,address,latitude,longitude
39,Anup Medical Hall,"Ghuni, Action Area I, New Town, Bidhannagar, North 24 Parganas, West Bengal, 700162, India",22.586779,88.46363
40,SI Artemis Medical Center (Bhawanipor),"Ramesh Mitra Road, Ramesh Mitra Rd, Paddapukur, Bhowanipore, Kolkata, West Bengal, 700025, India",22.5288,88.349
41,Fatma Medical,"Kolkata, West Bengal, 700009, India",22.575452,88.372714
42,Subaica Medical Hall,"Sheriff(howrah Maidan), 5-P, M.G .Road, Near TaTa Indicom, Opp. Petrol Pump Howrah Maidan, Salkia, Howrah, West Bengal, 711106, India",22.59301,88.33739
43,Naskarhat Pharmacy,"30, Naskarhat Rd, 30, Naskarhat Rd, 30, Naskarhat Rd, 30, Naskarhat Rd, Laskarhat, Amrabati, Tiljala, Kolkata, West Bengal, 700039, India",22.5245,88.3916
44,Hanapara Medical Shop,"KidZee Krishnapur, KidZee Keshtopur, AF 13, Hana Para Rd, Keshtopur, Bidhannagar, North 24 Parganas, West Bengal, 700102, India",22.601057,88.43091
45,Rx Vital Pharmacy,"Kolkata, West Bengal, 700099, India",22.495155,88.407242
46,Dipu Medical Hall,"76, Christopher Rd, Mirania Gardens 2, Seal Lane, Tangra, Kolkata, West Bengal, 700046, India",22.5478,88.3819
47,Collage Street Medico,"32, College St, Calcutta Medical College, College Square, Kolkata, West Bengal, 700073, India",22.5716,88.3614
48,Remedy Diagnostics,"Remedy Diagnostics, Garia Main Road, Rajpur Sonarpur, Sonarpur, Kolkata, West Bengal, 700096, India",22.46315,88.37956
49,Rina Medico,"Rajarhat, North Twenty Four Parganas District, West Bengal, 700105, India",22.541347,88.450786
50,TaTa Medical Cafeteria,"TaTa 1MG TaTa Medical Center Op Phase1, TaTa Medical Centre, Street 247, Action Area I, New Town, Bidhannagar, North 24 Parganas, West Bengal, 700156, India",22.57786,88.47999
51,Bimal Pharmacy,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
52,Maa Basanti Medical,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
53,Janaki Pharmacy,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
54,Sri Ram Krishna Homeo Hall,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
55,Sri Pati Homeo Hall,"Digha - Contai Road, Digha - Contai Rd, RamNagar, Saiyadpur, West Bengal, 721423, India",21.6764,87.5611
